age,workclass,fnlwgt,EducationLevel,education.num,MartialStatus,occupation,relationship,race,gender,2023.capital.gain,2023.capital.loss,2024.capital.gain,2024.capital.loss,2025.capital.gain,2025.capital.loss,native.country,<=50K,>50K
23,Private,163665,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,-254,982,-441,-99,United-States,15,71
25,Private,122999,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,432,291,517,0,United-States,40,51
48,Local-gov,189762,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,726,-15,-679,412,United-States,63,40
20,Private,198148,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,-48,64,-958,656,United-States,40,60
31,Private,248178,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,-121,-583,369,-614,United-States,35,80
26,Self-emp-not-inc,219897,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,-372,89,-857,-326,United-States,50,76
43,Self-emp-inc,286750,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,358,-464,883,-720,United-States,72,99
29,Private,214925,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,-66,670,-1,362,United-States,60,56
60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,-754,98,54,-450,United-States,40,80
59,Private,168569,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,-364,-765,714,312,United-States,50,53
36,Federal-gov,203836,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,-640,-979,101,-210,United-States,50,78
44,Private,163215,12th,8,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,0,-140,-393,-375,United-States,40,80
60,Self-emp-not-inc,146674,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,-758,-41,-394,-80,?,50,80
31,Private,169583,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,-74,182,-866,540,United-States,40,59
62,Local-gov,159908,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1258,-707,2160,24,313,United-States,38,54
41,Private,230020,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,667,-202,856,683,United-States,40,56
36,Local-gov,178222,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,-505,879,508,-148,United-States,60,78
24,Private,148320,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,98,705,816,380,United-States,40,70
57,Private,74156,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,827,633,827,415,United-States,30,78
38,Private,99388,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,758,-157,984,-856,El-Salvador,40,56
