age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,2023.capital.gain,2023.capital.loss,hours.per.week,native.country,income,2024.capital.gain,2024.capital.loss,2025.capital.gain,2025.capital.loss
57,Self-emp-inc,220789,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,69,United-States,****K,-733,-297,-729,-584
23,State-gov,101094,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,65,United-States,***K,652,770,-424,-415
52,Private,150812,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,64,United-States,***K,389,-881,-258,301
34,State-gov,595000,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,***K,245,-177,-735,893
35,Private,128876,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,51,United-States,***K,133,-776,702,-768
25,Private,76144,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,****K,152,-120,612,-351
41,Private,35166,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,68,United-States,****K,15313,-824,15563,-555
44,Local-gov,33068,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,****K,265,-114,-714,-732
21,Local-gov,38771,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,65,United-States,***K,-264,-105,-656,633
42,Private,247019,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,***K,103,-425,-914,573
57,Self-emp-inc,159028,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,***K,100613,-614,100942,-446
36,Private,48972,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,****K,886,297,587,615
44,Local-gov,101967,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,****K,928,218,178,799
40,Private,406811,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,Canada,****K,-610,969,992,-535
38,Private,107302,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,****K,792,-379,157,299
44,Local-gov,177937,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,61,United-States,****K,306,639,366,513
31,Self-emp-inc,203488,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,71,United-States,****K,-805,342,-169,-386
48,Private,168216,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,***K,403,80,53,250
37,Local-gov,174924,Some-college,10,Divorced,Protective-serv,Unmarried,White,Male,0,0,48,Germany,****K,170,-587,616,-604
18,Private,192409,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,****K,-495,-721,617,616
