Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,06/11/10,Blackpool,Everton,2,2,D,1,1,D,Referee_6,11,20,8,14,14,12,3,7,2,1,0,0
E0,11/12/10,Fulham,Sunderland,0,0,D,0,0,D,Referee_17,14,11,13,2,14,10,4,3,0,1,0,0
E0,27/02/11,Man City,Fulham,1,1,D,1,0,H,Referee_15,14,11,4,5,17,13,10,1,1,2,0,0
E0,01/05/11,Birmingham,Wolves,1,1,D,1,1,D,Referee_14,8,7,1,2,10,16,0,2,3,3,1,0
E0,16/01/11,Sunderland,Newcastle,1,1,D,0,0,D,Referee_16,10,9,7,2,17,5,4,6,1,1,0,0
E0,19/09/10,Chelsea,Blackpool,4,0,H,4,0,H,Referee_4,27,11,15,4,7,4,9,6,1,2,0,0
E0,12/02/11,West Brom,West Ham,3,3,D,3,0,H,Referee_13,15,18,11,11,12,13,4,9,2,3,0,0
E0,27/11/10,Man United,Blackburn,7,1,H,3,0,H,Referee_8,15,3,11,2,6,6,5,2,0,2,0,0
E0,07/05/11,Bolton,Sunderland,1,2,A,0,1,A,Referee_14,17,10,9,6,14,10,5,5,1,0,0,0
E0,02/10/10,Birmingham,Everton,0,2,A,0,0,D,Referee_2,6,11,3,6,5,11,6,5,0,0,0,0
E0,11/12/10,Newcastle,Liverpool,3,1,H,1,0,H,Referee_13,8,16,5,7,19,13,2,5,2,1,0,0
E0,16/04/11,Blackpool,Wigan,1,3,A,0,2,A,Referee_15,14,9,9,5,13,12,5,3,2,2,0,0
E0,08/05/11,Man United,Chelsea,2,1,H,2,0,H,Referee_16,13,19,8,11,12,14,7,2,2,4,0,0
E0,09/11/10,Stoke,Birmingham,3,2,H,1,0,H,Referee_4,19,14,12,10,6,8,10,4,0,0,0,0
E0,06/11/10,Fulham,Aston Villa,1,1,D,0,1,A,Referee_15,14,15,10,8,12,4,3,3,1,0,0,0
E0,25/09/10,West Ham,Tottenham,1,0,H,1,0,H,Referee_9,22,17,15,11,10,11,14,7,2,0,0,0
E0,12/02/11,Liverpool,Wigan,1,1,D,1,0,H,Referee_14,13,8,5,2,11,17,8,5,1,3,0,0
E0,15/05/11,Liverpool,Tottenham,0,2,A,0,1,A,Referee_16,10,8,2,4,13,7,11,5,2,1,0,0
E0,05/03/11,Fulham,Blackburn,3,2,H,1,1,D,Referee_4,15,12,11,9,12,17,9,7,2,3,0,0
E0,01/01/11,Sunderland,Blackburn,3,0,H,2,0,H,Referee_1,13,11,7,3,13,9,3,2,1,2,0,0
