SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,ANALYTE_TYPE,SMAFRZE,SMGTC,SMRDTTL,SMALTTL,SMALTALG,SMSUPALG,SMRDLGTH,SMVQCFL,SMLMAPQ,SMUMPRD,SMUNPDRD,SMMPPD,SMMPPDUN,SMMPDP,SMMPPDXG,SMMPDPXG,SMCHMRD,SMMPPDPR,SMMPHQRD,SMMPLQRD,SMSPLTRT,SME1MPRD,SME2MPRD,SME1MMB,SME2MMB,SME1TTLB,SME2TTLB,SMTTLMM,SMTTLB,SMESTLBS,SMEXNCRD,SMNTRNRD,SMNTRARD,SMNTERRD,SMAMBRD,SMNTEXC,SME1SNSE,SME2SNSE,SME1ANTI,SME2ANTI,SMGNSDTC,SMRRNARD,SMRRNART,SMMFLGTH,SMSFLGTH,SMMDFLGTH,SMSMFLGTH,SMFGCMN,SMFGCSD,SMFGCSK,SMFGCKT,SM3PBMN,SM3PBSD,SM3PBMD,SM3PB25P,SM3PB75P,SM3PBSDM,SM3PBGN,SMMDMNCV,SMMDCVSD,SMMDCVCV,SMEXCVMD,SMEXCVMAD,SMMNCV,SMUVCRD,SMUVCRT,SMSHRTRD,SMSHRTRT,SMSMRDHQ,SMSMRTHQ,SMPRERDHQ,SMPRERTHQ,SMSMGNDT,SMPREGNDT,SMRDLNMN,SMRDLNMD,SMRDLNSD,var,value
GTEX-13PVQ-0011-R3b-SM-5O9D6,,"C1, A1",,6.5,Brain,Brain - Anterior cingulate cortex (BA24),UBERON:0009835,730.0,,BP-47673,RNA Isolation via QIAGEN Spin Column,12/19/13,LCSET-4910,4/1/14,TruSeq.v1,RNA:Total RNA,RNASEQ,,121239946.0,183424332.0,62022922.0,161464.0,76.0,6792667.0,79297393.0,116450804.0,0.0,115058771.0,55637735.0,59421036.0,115029793.0,59414385.0,346827.0,57196410.0,95856544.0,19202227.0,0.141847,57714068.0,57344703.0,16737494.0,21248433.0,4386269168.0,4358197428.0,37985927.0,8744466596.0,34156446.0,93125162.0,8835082.0,101960244.0,5876762.0,7221765.0,115058771.0,25206970.0,25722803.0,25686649.0,24851163.0,25436.0,13888085.0,0.120704,199.559,85.1443,181.0,75.6126,0.455549,0.0831647,0.552415,1.02793,0.687579,0.281757,0.780488,0.5,0.918367,0.248319,6545.0,1.90132,1.77777,0.993322,0.308779,0.299046,,,,,,,,,,,,,,,*******T,516
GTEX-12WSL-1126-SM-5CVNK,1.0,B1,2 pieces,8.1,Adipose Tissue,Adipose - Visceral (Omentum),UBERON:0010414,269.0,584.0,BP-44437,RNA Extraction from PAXgene-derived Lysate Plate Based,10/8/13,LCSET-4633,2/15/14,TruSeq.v1,RNA:Total RNA,RNASEQ,,97849188.0,106020328.0,8015205.0,155935.0,76.0,16863474.0,11156599.0,82287484.0,0.0,81513584.0,66607565.0,14906019.0,81503989.0,14905095.0,289136.0,40504436.0,76548486.0,4965098.0,0.220472,40924170.0,40589414.0,15294383.0,21298293.0,3110236920.0,3084795464.0,36592676.0,6195032384.0,96436083.0,68294317.0,8397067.0,76691384.0,1580493.0,3241707.0,81513584.0,17951598.0,17873696.0,17925500.0,17693639.0,23818.0,439081.0,0.0053866,190.823,78.7287,171.0,68.1996,0.467019,0.107984,0.267359,-0.475363,0.552994,0.296513,0.582711,0.318182,0.808511,0.361486,6209.0,1.24118,1.28869,0.932916,0.252743,0.250907,,,,,,,,,,,,,,,*******F,830
GTEX-ZPIC-0126-SM-DNZZ9,1.0,B1,2 pieces.  Prominent vascular hyalinization,6.7,Spleen,Spleen,UBERON:0002106,121.0,1208.0,BP-43072,RNA Extraction from PAXgene-derived Lysate Plate Based,9/4/13,LCSET-10340,2/12/17,TruSeq.v1,RNA:Total RNA,RNASEQ,,100534980.0,111203600.0,10506381.0,162239.0,76.0,10466283.0,15069657.0,91049772.0,0.0,90263324.0,70109779.0,20153545.0,90086078.0,20061514.0,302843.0,44882069.0,84425215.0,5838109.0,0.214172,45321496.0,44941828.0,9459657.0,16222467.0,3444433696.0,3415578928.0,25682124.0,6860012624.0,84695761.0,73088315.0,10534081.0,83622396.0,2336824.0,4304104.0,90263324.0,19942930.0,19928667.0,20032993.0,19708017.0,25073.0,680248.0,0.00753626,171.994,66.8958,156.0,50.4084,0.485946,0.105935,0.153596,-0.626022,0.651186,0.283198,0.723996,0.461538,0.891304,0.291537,8583.0,1.89954,1.84788,1.00878,0.288036,0.286628,,,,,,,,,,,,,,,*******T,935
GTEX-1I1CD-1326-SM-A9SMM,1.0,C1,"2 pieces; one is ~15% fat, 2nd is ~60% fat/fibrous with scar, suture material, and focal foreign body giant cell reaction (history of CABG), hypertrophy",6.7,Heart,Heart - Atrial Appendage,UBERON:0006631,704.0,1416.0,BP-65829,RNA Extraction from PAXgene-derived Lysate Plate Based,7/30/15,"LCSET-7847,LCSET-8173",11/17/15,TruSeq.v1,RNA:Total RNA,RNASEQ,,81581772.0,89523716.0,7823498.0,118446.0,76.0,11646291.0,11180834.0,70894814.0,0.0,70315621.0,52852977.0,17462644.0,70200734.0,17415146.0,268651.0,35017276.0,65501195.0,4814426.0,0.177308,35226276.0,35089345.0,15574067.0,19136762.0,2677196976.0,2666790220.0,34710829.0,5343987196.0,58373317.0,53117515.0,12053267.0,65170782.0,1583476.0,3561363.0,70315621.0,15344998.0,15372872.0,15375925.0,15226570.0,23844.0,1498570.0,0.021312,203.178,78.0376,190.0,71.1648,0.462684,0.100533,0.32087,-0.242466,0.612088,0.291687,0.666667,0.403101,0.862069,0.325132,5101.0,1.32421,1.33732,0.923726,0.286198,0.27151,,,,,,,,,,,,,,,*******T,23
GTEX-1J1OQ-0011-R11a-SM-A96S3,,"B1, A1",,7.3,Brain,Brain - Cerebellar Hemisphere,UBERON:0002037,1210.0,,BP-65257,RNA Isolation via QIAGEN Spin Column,7/13/15,LCSET-7845,9/19/15,TruSeq.v1,RNA:Total RNA,EXCLUDE,,100304926.0,115080901.0,14607700.0,168275.0,76.0,3922231.0,20129487.0,96840540.0,0.0,96118919.0,81628441.0,14490478.0,96102895.0,14488005.0,377196.0,47877700.0,89911191.0,6207728.0,0.168427,48147077.0,47971842.0,8953185.0,10064461.0,3659177852.0,3645859992.0,19017646.0,7305037844.0,142244471.0,71194713.0,16541720.0,87736433.0,4169483.0,4213003.0,96118919.0,20883406.0,20937010.0,21017691.0,20810207.0,25018.0,1335066.0,0.0138897,171.703,74.8458,149.0,50.4084,0.476534,0.109956,0.258614,-0.484891,0.611606,0.274427,0.659475,0.419355,0.83871,0.30016,7543.0,1.92507,1.75578,0.884194,0.269135,0.261964,,,,,,,,,,,,,,,*******F,735
GTEX-14PN3-1726-SM-GRR3A,1.0,B1,2 pieces: 1 with thin atrophic endometrium; other only myometrium (in this cut),7.6,Uterus,Uterus,UBERON:0000995,130.0,655.0,BP-50444,RNA Extraction from PAXgene-derived Lysate Plate Based,3/12/14,LCSET-12243,,TruSeq.v1,RNA:Total RNA,RNASEQ,,128553612.0,139359349.0,10611054.0,194683.0,76.0,8171643.0,16539503.0,121008696.0,0.0,119977566.0,89763421.0,30214145.0,119974403.0,30213712.0,498144.0,59825985.0,113400426.0,6577140.0,0.229687,60064494.0,59913072.0,9545898.0,11941876.0,4564901544.0,4553393472.0,21487774.0,9118295016.0,97950763.0,95587618.0,16300466.0,111888084.0,2864376.0,5225106.0,119977566.0,26218888.0,26358858.0,26366479.0,26086885.0,24804.0,317558.0,0.00264681,212.282,83.4846,197.0,77.0952,0.472831,0.102046,0.296845,-0.472487,0.573269,0.287408,0.609756,0.352941,0.814815,0.334252,8506.0,2.16459,1.90898,0.858655,0.232334,0.231995,,,,,,,,,,,,,,,*******T,3
GTEX-P4QS-2626-SM-2I3EV,1.0,B1,2   ~10x 3-7mm pieces,6.8,Thyroid,Thyroid,UBERON:0002046,96.0,491.0,BP-18728,RNA isolation from PAXgene tissue via QIAGEN spin column,9/8/11,LCSET-1167_4,4/2/12,TruSeq.v1,RNA:Total RNA,EXCLUDE,,166294226.0,185069196.0,18598645.0,176325.0,76.0,35135962.0,62738918.0,134224614.0,0.0,93381267.0,67739306.0,25641961.0,93353691.0,25626534.0,242931.0,46104713.0,85069502.0,8311765.0,0.181983,46807440.0,46573827.0,13996607.0,37401647.0,3557365440.0,3539610852.0,51398254.0,7096976292.0,68411827.0,71537451.0,14359534.0,85896985.0,3170447.0,4313835.0,93381267.0,19785587.0,20468449.0,20424210.0,19563093.0,25858.0,614953.0,0.0065854,168.106,65.0409,157.0,42.9954,0.453794,0.102423,0.22678,-0.33683,0.660507,0.272092,0.730108,0.490566,0.885496,0.268355,7823.0,2.05258,1.91517,0.926933,0.272609,0.265728,,,,,,,,,,,,,,,*********Q,783
GTEX-12KS4-0826-SM-5BC5R,0.0,C1,"2 pieces, fewfoci of interstiital fat, rep. delineated",6.5,Muscle,Muscle - Skeletal,UBERON:0011907,491.0,964.0,BP-43916,RNA Extraction from PAXgene-derived Lysate Plate Based,9/24/13,LCSET-4455,1/18/14,TruSeq.v1,RNA:Total RNA,RNASEQ,,95947162.0,106927176.0,10814470.0,165544.0,76.0,23976672.0,14396887.0,74093846.0,0.0,73470743.0,47523582.0,25947161.0,73469637.0,25947103.0,322100.0,36508602.0,67362457.0,6108286.0,0.260314,36920356.0,36550387.0,7250827.0,13231155.0,2805947056.0,2777829412.0,20481982.0,5583776468.0,38753514.0,62849953.0,5890206.0,68740159.0,951569.0,3779015.0,73470743.0,16240687.0,15836766.0,15910918.0,15978461.0,20274.0,909756.0,0.0123826,195.47,78.1607,178.0,72.6474,0.466612,0.0961526,0.384722,0.104495,0.523464,0.305732,0.523256,0.285714,0.783784,0.376618,3550.0,0.431624,0.680294,1.05348,0.30358,0.30075,,,,,,,,,,,,,,,******T,9
GTEX-145LU-0006-SM-HK78T,,C1,,8.6,Blood,Whole Blood,UBERON:0013756,783.0,,BP-45667,RNA isolation PAXgene Blood RNA (Manual),11/11/13,LCSET-13711,,TruSeq.v1,RNA:Total RNA,RNASEQ,,87236540.0,214049845.0,126750846.0,62459.0,76.0,7158342.0,163564559.0,83718316.0,0.0,82405957.0,26642780.0,55763177.0,42067699.0,16218786.0,166570.0,41019791.0,42837226.0,39568731.0,0.435317,41261327.0,41144630.0,6433549.0,8437582.0,3135860852.0,3126991880.0,14871131.0,6262852732.0,14084166.0,65447690.0,4906400.0,70354090.0,960541.0,11091326.0,82405957.0,19604880.0,19602671.0,19715402.0,19596665.0,18347.0,135190.0,0.00164054,249.59,100.781,239.0,106.747,0.503861,0.101956,0.0470835,-0.640057,0.524186,0.305222,0.509117,0.285714,0.794872,0.384167,2603.0,0.203291,0.476074,1.19812,0.392341,0.38154,,,,,,,,,,,,,,,*******G,386
GTEX-1B8L1-0011-R5a-SM-7DHN5,,"B1, A1",,7.9,Brain,Brain - Caudate (basal ganglia),UBERON:0001873,710.0,,BP-56897,RNA Isolation via QIAGEN Spin Column,9/30/14,LCSET-6441,1/14/15,TruSeq.v1,RNA:Total RNA,RNASEQ,,71900230.0,84485562.0,12451051.0,134281.0,76.0,7182112.0,16944697.0,65573938.0,0.0,64759936.0,43678124.0,21081812.0,64758516.0,21081682.0,245733.0,32168781.0,59271883.0,5488053.0,0.14398,32383017.0,32376919.0,9395264.0,13592953.0,2461109292.0,2460645844.0,22988217.0,4921755136.0,38200718.0,53809790.0,5920647.0,59730437.0,2316836.0,2712663.0,64759936.0,14131407.0,14354945.0,14382218.0,14155045.0,24147.0,3183174.0,0.0491534,221.727,92.4027,205.0,84.5082,0.442005,0.0938119,0.362821,0.0487614,0.701013,0.271987,0.789474,0.538462,0.921569,0.237021,5795.0,1.82252,1.71488,0.978331,0.313196,0.285833,,,,,,,,,,,,,,,*******T,674
