ID,President,AC,WR,EAp,OA,Im,DA,Int,EAb,FPA,LA
38,Gerald Ford,7,16,24,10,28,10,10,30,28,6
14,Franklin Pierce,7,18,27,10,29,10,10,30,28,4
2,John Adams,8,17,24,12,29,8,10,30,26,6
4,James Madison,7,18,24,10,30,9,11,29,26,5
29,Warren G. Harding,8,19,24,9,29,9,9,30,28,5
6,John Quincy Adams,7,20,23,11,27,8,10,29,27,6
16,Abraham Lincoln,9,19,23,9,28,11,10,29,27,5
42,Bill Clinton,7,18,24,9,30,10,10,31,27,9
10,John Tyler,6,17,24,11,31,9,12,31,28,5
31,Herbert Hoover,9,17,23,11,29,10,12,30,27,5
18,Ulysses S. Grant,8,19,23,10,29,9,11,32,25,4
13,Millard Fillmore,9,18,23,11,28,10,10,30,28,5
40,Ronald Reagan,9,17,24,9,29,10,11,30,29,7
21,Chester A. Arthur,8,17,24,11,30,9,8,30,29,7
19,Rutherford B. Hayes,7,17,25,9,31,8,10,32,27,7
22,Grover Cleveland,9,18,22,10,28,9,11,30,28,5
3,Thomas Jefferson,8,17,25,9,28,9,10,31,27,6
39,Jimmy Carter,8,18,26,8,31,8,11,28,28,6
20,James A. Garfield,8,18,24,9,29,10,10,31,28,6
8,Martin Van Buren,9,17,25,11,28,9,9,31,28,5
