Title,Type,Developer(s),Publisher(s),var,value
Uplay,Loyalty program,Ubisoft,Ubisoft,R*****************************************),30-Nov-12
YouTube,Video on demand,YouTube,Google,R**********************************************),30-Nov-12
Demae-can,Miscellaneous,"Yume no Machi Souzou Iinkai Co., Ltd.","Yume no Machi Souzou Iinkai Co., Ltd.",R*****************************************),8-Aug-13
Nico Nico,Video on demand,Niwango,Dwango,R*****************************************),Unreleased
Rhapsody: Music & Radio,Music streaming,Rhapsody Team,Rhapsody Team,R**********************************************),Unreleased
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,R*************************************************),25-Dec-14
WatchUp: You're Daily News Cast,News,Watchup,Watchup,R**********************************************),Unreleased
SDK Spriter,Edutainment,Hullbreach Studios,Hullbreach Studios,R**********************************************),Unreleased
WatchUp: You're Daily News Cast,News,Watchup,Watchup,R*****************************************),Unreleased
LoveFilm,Video on demand,LoveFilm,LoveFilm,R**********************************************),Unreleased
Animal Crossing Plaza,Sim,Nintendo EAD,Nintendo,R*****************************************),8-Aug-13
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,R*****************************************),23-Apr-15
YNN,Digital distribution,Yoshimoto Kogyo,Yoshimoto Kogyo,R*************************************************),Unreleased
Bandai Channel,Video on demand,Bandai Channel,Namco Bandai,R**********************************************),Unreleased
Sense by Play.me,"Music streaming, internet radio",d-mobilelab,d-mobilelab,R*************************************************),Unreleased
Wii U Panorama View,Panoramic video,Nintendo,Nintendo,R*****************************************),27-Apr-13
Crunchyroll,Video on demand,Crunchyroll,Crunchyroll,R*****************************************),Unreleased
Napster,Music streaming,Napster,Nintendo,R*****************************************),Unreleased
Art Academy: Home Studio,Art,"Headstrong Games, Nintendo SPD",Nintendo,R*************************************************),25-Jun-15
Amiibo Tap: Nintendo's Greatest Bits,Application,Nintendo,Nintendo,R*************************************************),30-Apr-15
